customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9130ac65-abdf-4a43-b95d-90534b56f3f3,Male,1,No,No,15,No,No phone service,DSL,No,No internet service,Yes,Yes,No,No internet service,One year,No,Bank transfer,24.97,5279.52,No
29b093c4-0bf9-44f0-9ab6-94602d612c44,Female,0,Yes,Yes,7,No,No,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer,117.85,7252.64,No
dc7c41dd-7ec8-4b90-b9a7-cc90e13f66b4,Male,0,No,No,20,Yes,No phone service,No,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Mailed check,114.52,3386.68,No
fbc77b46-55d8-430c-8b83-193dcf955a50,Female,1,Yes,Yes,60,Yes,No phone service,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,One year,No,Credit card,61.68,3857.4,Yes
904c5a6a-2c6d-451d-8a61-fd9adb65c654,Male,1,Yes,Yes,6,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Mailed check,94.88,4168.3,No
288033ef-40fe-44d8-9fd3-d14870854e9c,Male,0,No,Yes,4,Yes,No phone service,No,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,57.79,3245.96,No
9c38c465-1838-49ee-b825-538081725623,Male,1,Yes,No,45,No,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,67.98,7700.59,Yes
90a4c0f3-606d-4b5f-ae7c-52a38ca2a4fe,Male,1,Yes,No,50,No,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,Yes,One year,Yes,Electronic check,102.07,3167.04,Yes
30dc8a8e-e13b-4425-9f1a-f46e851bed65,Female,1,Yes,Yes,45,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,One year,No,Bank transfer,79.89,1894.86,No
c9473786-29e8-44bd-83f8-20c4114f418e,Male,0,Yes,Yes,29,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Electronic check,68.79,3920.82,No
2e0d63f9-a71c-4f2d-947a-55fcbe7ebac7,Male,0,No,No,38,No,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,38.82,4269.1,No
